,count,mean,std,min,25%,50%,75%,max
song_duration_ms,35899.0,193165.84757235576,45822.12767873015,25658.0,166254.5,186660.0,215116.0,491671.0
acousticness,36008.0,0.2764044303879504,0.297927929273225,-0.0135511552613696,0.03961836449838248,0.14053234888623756,0.4824987530936144,1.0652843610501974
danceability,35974.0,0.5709511548062326,0.1900104817795971,0.0439606763362077,0.42476046075469986,0.6082338355736929,0.7184637554411202,0.9571308047062228
energy,36025.0,0.6839319477138393,0.2126620001780215,-0.0016822004137934,0.5392758057278686,0.7044533182633863,0.870503118260891,1.0397413046716637
instrumentalness,36015.0,0.036526755987754234,0.15002390250923883,-0.0043980509966391,0.00094146480764105,0.0019744766301669,0.00322529880589595,1.0754146806463265
key,35935.0,5.042604702935856,3.372727801078067,0.0,2.0,5.0,8.0,11.0
liveness,35914.0,0.19851369124259632,0.15166991342438638,0.0278431130171187,0.11179636067192567,0.13594518271937028,0.2128416344115054,1.0652980309790911
loudness,36043.0,-7.407596207923781,3.8771975994627903,-32.117910852313194,-9.578139217786731,-6.345412615480568,-4.620711263808273,-0.8773458492126069
audio_mode,40000.0,0.32115,0.4669241136985739,0.0,0.0,0.0,1.0,1.0
speechiness,40000.0,0.09410654997438574,0.08359080852981937,0.0150646591183137,0.0385001320849816,0.0558807732613924,0.1188421390674503,0.5607483509425971
tempo,40000.0,116.5628148814794,26.167910622054386,62.05577907947696,96.99530887484418,113.79595942988647,128.51738336252103,219.16357815182727
time_signature,40000.0,3.394375,0.5244046475584093,2.0,3.0,3.0,4.0,5.0
audio_valence,40000.0,0.5806448560934729,0.2373507636885034,0.0133978546055058,0.3986694171546515,0.5988269955094705,0.7596351386607669,1.022557575991481
